label,Label,Deposit,SiO2,TiO2,Al2O3,TFe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Y,Zr,Nb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
1,Cu-rich PCDs,Tuwu-Yandong Cu,68.86,0.2,15.22,0.96,0.03,0.85,2.49,6.21,1.19,0.09,24.0,584.0,6.0,28.6,1.7,280.0,10.4,20.5,2.39,8.3,1.51,0.5,1.26,0.18,1.0,0.2,0.54,0.08,0.56,0.09,0.7,0.12,1.1,0.6
0,Au-rich PCDs,Duobaoshan-Tongshan Cu-Au-Mo,63.5,0.35,15.95,5.26,0.09,1.41,6.56,4.53,1.74,0.15,7.6,1050.0,9.5,84.0,4.4,180.0,12.4,25.3,3.11,12.3,2.57,0.86,2.3,0.3,1.78,0.36,1.03,0.16,1.02,0.17,2.4,0.4,2.63,1.18
1,Cu-rich PCDs,Jebel Ohier Cu-Au,55.0,0.88,16.75,8.03,0.12,5.0,6.99,3.84,0.95,0.23,19.7,615.0,18.8,115.0,2.7,400.0,11.9,25.8,3.37,14.9,3.42,1.16,3.37,0.54,3.34,0.66,1.87,0.25,1.81,0.3,2.9,0.2,1.23,0.58
1,Cu-rich PCDs,Tsagaan Suvarga Cu-Mo,64.57,0.31,17.14,2.57,0.04,0.18,2.77,4.94,4.88,0.11,125.0,631.0,11.6,46.7,8.0,721.0,18.6,32.0,3.43,11.7,2.4,0.84,2.29,0.36,2.18,0.47,1.42,0.25,1.7,0.48,2.0,0.5,4.5,0.95
0,Au-rich PCDs,Almalyk Cu-Au,58.49,0.6,15.06,6.29,0.12,3.28,5.53,3.19,3.77,0.27,86.0,556.0,18.5,153.0,9.5,1570.0,36.02,66.55,7.88,30.19,5.24,1.27,4.92,0.67,3.53,0.7,1.92,0.3,1.97,0.29,4.5,0.77,17.6,6.32
0,Au-rich PCDs,Bozshakol Cu-Au,67.95,0.33,14.86,2.48,0.08,1.39,2.97,4.15,2.04,0.16,43.6,224.0,13.5,94.2,5.24,283.0,12.6,22.4,2.46,10.5,2.6,0.79,1.92,0.34,2.15,0.43,1.24,0.22,1.4,0.2,2.93,0.34,2.85,0.84
1,Cu-rich PCDs,Yuhai Cu-Mo,62.67,0.4,16.25,5.44,0.1,2.8,4.06,3.28,1.76,0.22,28.6,612.0,15.0,47.0,3.12,808.0,18.9,36.9,4.65,19.7,3.66,1.02,2.94,0.51,2.68,0.52,1.48,0.28,1.78,0.26,1.48,0.17,1.55,0.92
1,Cu-rich PCDs,Yuhai Cu-Mo,64.29,0.36,17.05,5.35,0.08,1.94,5.62,3.52,0.46,0.2,5.83,781.0,10.6,65.4,1.87,321.0,15.0,27.9,3.51,14.9,2.72,1.05,2.35,0.42,2.03,0.37,1.21,0.18,1.26,0.21,2.13,0.13,1.46,0.87
1,Cu-rich PCDs,Baogutu Cu-Mo,58.92,0.82,15.6,7.58,0.1,4.03,7.09,3.83,0.78,0.2,25.5,681.0,15.9,47.0,2.63,382.0,13.6,29.0,4.02,17.0,3.74,1.06,2.99,0.54,2.96,0.55,1.64,0.25,1.59,0.25,1.76,0.17,2.42,0.64
1,Cu-rich PCDs,Luoboling Cu-Mo,65.76,0.49,14.88,4.23,0.09,1.81,3.5,3.06,4.04,0.22,173.0,488.0,15.37,146.0,16.49,695.0,52.52,83.37,9.03,28.47,4.88,0.99,3.96,0.51,2.93,0.58,1.74,0.3,1.88,0.3,4.28,2.15,27.96,8.44
